Track Name,Album Name,Duration (ms),Explicit,Danceability,Energy,Acousticness,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence
Treacherous,reputation Stadium Tour Surprise Song Playlist,242760,FALSE,0.704,0.621,0.101,0.0000043,0.14,-8.086,0.0334,109.996,0.395
Treacherous (Taylor's Version),Red (Taylor's Version),242720,FALSE,0.645,0.593,0.0344,0.000127,0.13,-6.506,0.0288,109.984,0.299
I Almost Do,Red,242573,FALSE,0.567,0.481,0.0173,0.0000413,0.182,-7.357,0.027,145.865,0.233
Today Was A Fairytale,Today Was A Fairytale,242480,FALSE,0.491,0.703,0.0307,0.00000572,0.167,-4.5,0.0319,157.988,0.344
Speak Now (Taylor's Version),Speak Now (Taylor's Version),242473,FALSE,0.734,0.686,0.225,0,0.136,-2.926,0.0349,119.002,0.598
Fearless,Fearless (International Version),242373,FALSE,0.593,0.705,0.0449,0,0.309,-4.43,0.0269,100.11,0.472
Should've Said No,Taylor Swift (Deluxe Edition),242200,FALSE,0.476,0.777,0.0103,0,0.196,-3.771,0.0289,167.964,0.472
Bye Bye Baby (Taylor's Version) (From The Vault),Fearless (Taylor's Version),242157,FALSE,0.624,0.624,0.334,0,0.0995,-7.86,0.0539,80.132,0.527
Haunted,Speak Now,242093,FALSE,0.434,0.944,0.0769,0,0.151,-2.641,0.0581,162.02,0.361
Today Was A Fairytale (Taylor's Version),Fearless (Taylor's Version),241822,FALSE,0.482,0.779,0.0135,0,0.296,-5.025,0.0409,158.162,0.328
Fearless (Taylor's Version),Fearless (Taylor's Version),241591,FALSE,0.569,0.741,0.0122,0,0.333,-4.963,0.0282,100.118,0.43
Robin,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,240893,FALSE,0.476,0.386,0.791,0.000423,0.1,-10.601,0.03,138.265,0.158
The Lucky One (Taylor's Version),Red (Taylor's Version),240466,FALSE,0.686,0.571,0.066,0,0.0608,-7.138,0.05,117.889,0.538
The Great War,Midnights (The Til Dawn Edition),240355,FALSE,0.57,0.747,0.199,0.0000232,0.0854,-8.93,0.0342,96.016,0.574
Run (feat. Ed Sheeran) (Taylor's Version) (From The Vault),Red (Taylor's Version),240226,FALSE,0.61,0.488,0.817,0,0.312,-6.918,0.0293,125.039,0.443
Cassandra,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,240205,TRUE,0.587,0.587,0.806,0,0.137,-9.879,0.0595,139.963,0.514
The Lucky One,Red,240133,FALSE,0.706,0.499,0.0371,0,0.132,-7.675,0.0369,117.937,0.545
Safe & Sound (feat. Joy Williams and John Paul White) (Taylor's Version),The More Red (Taylor's Version) Chapter,239668,FALSE,0.406,0.318,0.79,0.00000288,0.0754,-11.052,0.0284,145.126,0.278
cardigan,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],239560,FALSE,0.612,0.58,0.525,0.000414,0.26,-8.572,0.0419,130.045,0.534
Ours,reputation Stadium Tour Surprise Song Playlist,239346,FALSE,0.609,0.56,0.469,0,0.087,-7.392,0.0279,159.838,0.228
Cold As You,Taylor Swift (Deluxe Edition),239013,FALSE,0.418,0.482,0.217,0,0.123,-5.769,0.0266,175.558,0.261
Begin Again (Taylor's Version),Red (Taylor's Version),238866,FALSE,0.519,0.527,0.075,0,0.132,-7.673,0.0274,78.915,0.267
The Black Dog,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,238857,TRUE,0.527,0.27,0.707,0,0.102,-10.855,0.038,154.042,0.23
How Did It End?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,238706,FALSE,0.492,0.379,0.785,0.00093,0.108,-8.859,0.0257,83.993,0.273
Mean,reputation Stadium Tour Surprise Song Playlist,238693,FALSE,0.576,0.755,0.449,0,0.223,-3.982,0.0427,163.884,0.791
The Other Side Of The Door (Taylor's Version),Fearless (Taylor's Version),238443,FALSE,0.432,0.873,0.0279,0,0.167,-4.367,0.0577,163.936,0.629
mad woman - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],238333,TRUE,0.663,0.465,0.887,0.000168,0.109,-10.463,0.0408,141.834,0.346
I Did Something Bad,reputation,238253,FALSE,0.696,0.602,0.0679,0.0000211,0.0696,-6.156,0.159,82.989,0.305
The Bolter,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,238241,TRUE,0.455,0.586,0.638,0,0.131,-7.978,0.0492,183.694,0.481
Come In With The Rain,Fearless (Platinum Edition),238093,FALSE,0.527,0.461,0.0961,0.00000247,0.24,-6.172,0.0256,143.94,0.23
"Sweeter Than Fiction - From ""One Chance"" Soundtrack",Sweeter Than Fiction,237640,FALSE,0.71,0.614,0.00164,0.000154,0.0785,-6.965,0.0366,135.012,0.673
Begin Again,Red,237613,FALSE,0.53,0.526,0.199,0.00000352,0.232,-8.349,0.0263,79.025,0.323
